ticket_id,hearing_date,ticket_issued_date,clean_up_cost,country,discount_amount,disposition,fine_amount,judgment_amount,late_fee,state,violation_code,zip_code,lat,lon,compliance,zip
22046,2005-03-21 10:30:00,2004-05-01 11:50:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,CA,9-1-36(a),908041512,42.145257,-83.20823299999999,0,9.0
19132,2005-03-01 15:00:00,2005-01-24 12:45:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),482227,42.3733967,-83.1021706,0,6.0
19400,2005-04-11 09:00:00,2005-01-26 09:15:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),6775,42.422083,-83.031968,0,4.0
19393,2005-04-11 09:00:00,2005-01-26 11:30:00,0.0,USA,0.0,Responsible by Determination,250.0,305.0,25.0,MI,9-1-36(a),482,42.4027136,-83.1611862,1,3.0
19468,2005-04-18 09:00:00,2005-01-27 11:40:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),4834,42.431700899999996,-83.15236800000001,0,4.0
19976,2005-06-01 09:00:00,2005-02-01 09:20:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),4821,42.4317645,-83.1615568,0,4.0
19973,2005-06-01 09:00:00,2005-02-01 09:00:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),458221,42.431058,-83.163772,0,6.0
20637,2005-03-16 15:00:00,2005-02-04 09:30:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,448223,42.3904523,-83.2036157,0,6.0
20750,2005-03-28 13:30:00,2005-02-07 11:50:00,0.0,USA,0.0,Responsible by Determination,200.0,250.0,20.0,MI,22-2-17,480210433,42.438623,-83.08699,0,9.0
20696,2005-02-25 10:30:00,2005-02-07 10:00:00,0.0,USA,0.0,Responsible by Admission,100.0,130.0,0.0,IN,9-1-103(C),0,42.411142299999995,-83.15978249999999,0,1.0
21017,2005-03-31 10:30:00,2005-02-09 11:00:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),482480,42.406636999999996,-83.157877,0,6.0
21717,2005-02-28 10:30:00,2005-02-10 10:30:00,0.0,USA,0.0,Responsible by Admission,100.0,130.0,0.0,NJ,22-2-22,4304,42.395447999999995,-82.968541,0,4.0
21326,2005-04-04 13:30:00,2005-02-11 12:25:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,9065,42.360127,-83.245939,0,4.0
21310,2005-04-05 09:00:00,2005-02-11 13:25:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,NJ,9-1-36(a),8053,42.407767,-83.2108251,0,4.0
22088,2005-06-03 09:00:00,2005-02-17 11:50:00,0.0,USA,0.0,Responsible by Admission,250.0,280.0,0.0,NJ,9-1-36(a),7869,42.393139,-83.185784,0,4.0
23566,2005-08-04 13:30:00,2005-02-25 13:25:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,CT,9-1-36(a),6902,42.373884999999994,-82.956505,0,4.0
24298,2005-07-28 10:30:00,2005-03-02 13:45:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),9313,42.397676700000005,-83.0230982,0,4.0
24700,2005-04-01 15:00:00,2005-03-07 11:35:00,0.0,USA,0.0,Responsible by Admission,250.0,280.0,0.0,NJ,9-1-36(a),8132,42.378921000000005,-83.15442,0,4.0
25760,2005-04-21 09:00:00,2005-03-15 12:45:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,4828,42.412000899999995,-83.174842,0,4.0
26583,2005-04-12 15:00:00,2005-03-28 08:10:00,0.0,USA,0.0,Responsible by Admission,250.0,280.0,0.0,MI,9-1-36(a),481880,42.321869899999996,-83.10088499999999,0,6.0
27232,2005-04-26 10:30:00,2005-04-06 11:00:00,0.0,USA,0.0,Responsible by Default,200.0,250.0,20.0,MI,22-2-17,9071,42.361850399999994,-83.1397941,0,4.0
28071,2005-05-06 09:00:00,2005-04-07 11:35:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,NJ,9-1-36(a),8054,42.410883,-83.1480541,1,4.0
28947,2005-05-06 10:30:00,2005-04-13 10:00:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-45,4838,42.3501638,-83.144118,1,4.0
29026,2005-05-06 10:30:00,2005-04-13 11:40:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-45,482032,42.3461864,-83.1408441,0,6.0
28922,2005-08-15 09:00:00,2005-04-13 13:00:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),2510,42.3906791,-83.11932209999999,0,4.0
30468,2005-07-21 15:00:00,2005-04-14 08:25:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,CT,9-1-36(a),6484,42.367298999999996,-83.235605,0,4.0
29670,2005-07-22 15:00:00,2005-04-15 12:35:00,0.0,USA,0.0,Responsible by Default,200.0,250.0,20.0,PA,22-2-17,190403430,42.402346,-83.25231099999999,1,9.0
31322,2005-08-25 09:00:00,2005-04-22 13:00:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),482037,42.390932899999996,-83.161125,0,6.0
31524,2005-07-29 15:00:00,2005-04-29 09:45:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),4828,42.382294,-83.168713,0,4.0
31233,2005-12-29 09:00:00,2005-04-29 11:15:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,UK,9-1-36(a),9512,42.3523308,-83.25202259999999,0,4.0
31747,2005-05-24 10:30:00,2005-05-04 10:00:00,0.0,USA,0.0,Responsible by Admission,250.0,280.0,0.0,MI,9-1-81(a),4823,42.415797,-83.04825500000001,1,4.0
32220,2005-06-01 10:30:00,2005-05-05 11:00:00,0.0,USA,0.0,Responsible by Default,200.0,250.0,20.0,MI,22-2-17,482355555,42.357586,-83.1413479,0,9.0
33223,2005-10-17 10:30:00,2005-05-17 11:00:00,0.0,USA,0.0,Responsible by Default,50.0,85.0,5.0,MI,9-1-104,482035,42.4205927,-83.0540657,1,6.0
33772,2005-09-09 10:30:00,2005-05-19 12:00:00,0.0,USA,0.0,Responsible by Determination,250.0,305.0,25.0,NJ,9-1-36(a),7304,42.400789,-82.97041999999999,1,4.0
34110,2005-08-11 09:00:00,2005-05-20 10:10:00,0.0,USA,0.0,Responsible by Default,200.0,250.0,20.0,NJ,22-2-88,8873,42.4415679,-83.20483,0,4.0
35021,2005-08-23 10:30:00,2005-06-02 14:30:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,NJ,22-2-22,8873,42.4415679,-83.20483,0,4.0
35774,2005-08-23 10:30:00,2005-06-06 11:15:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,482,42.362933,-83.169855,0,3.0
35315,2005-07-25 09:00:00,2005-06-06 11:00:00,0.0,USA,0.0,Responsible by Admission,250.0,280.0,0.0,RI,9-1-36(a),2895,42.412212100000005,-82.91276690000001,0,4.0
35787,2005-08-23 10:30:00,2005-06-06 11:55:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-43,4828,42.3651583,-83.170115,0,4.0
35735,2005-12-20 10:30:00,2005-06-06 11:30:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,MI,9-1-36(a),1620,42.375,-83.09556500000001,0,4.0
36295,2005-12-22 09:00:00,2005-06-13 10:45:00,0.0,USA,0.0,Responsible by Default,250.0,305.0,25.0,CT,9-1-36(a),6610,42.376636,-83.121492,0,4.0
36580,2005-09-20 10:30:00,2005-06-13 11:40:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,4824,42.4151527,-82.9445436,0,4.0
36971,2005-08-23 09:00:00,2005-06-14 13:30:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,CA,22-2-22,9306,42.419385,-83.165008,0,4.0
36868,2005-12-22 15:00:00,2005-06-15 12:30:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,487234,42.425463,-83.005721,0,6.0
36855,2005-12-22 15:00:00,2005-06-15 00:10:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,478205,42.425909000000004,-83.004564,0,6.0
37817,2005-10-07 10:30:00,2005-06-20 11:50:00,0.0,USA,0.0,Responsible by Default,100.0,140.0,10.0,MI,22-2-22,48,42.3932226,-82.9598989,0,2.0
